Nombre;NAME;TOPX;TOPY;LEASE;CURRENTTYPE;STRUCTURE;MOP
0003U;CIRA0003U;1031697.26;1263762.52;0003U;PROD_OIL;CIRA SOUTH;BEAM
58;CIRA0058;1032636.7;1266443.75;58;PROD_OIL;CIRA NORTH;BEAM
79;CIRA0079;1032161.06;1267826.1;79;PROD_OIL;CIRA NORTH;BEAM
116;CIRA0116;1032690.76;1263629.09;116;PROD_OIL;CIRA SOUTH;BEAM
125;CIRA0125;1032453.69;1262730.6;125;PROD_OIL;CIRA SOUTH;BEAM
126;CIRA0126;1032653.76;1263588.77;126;PROD_OIL;CIRA SOUTH;BEAM
133;CIRA0133;1032326.1;1262953.59;133;PROD_OIL;CIRA SOUTH;BEAM
138;CIRA0138;1032611.25;1263778.76;138;PROD_OIL;CIRA SOUTH;BEAM
141;CIRA0141;1032669.87;1263650.68;141;PROD_OIL;CIRA SOUTH;BEAM
143;CIRA0143;1032443.64;1262822.25;143;PROD_OIL;CIRA SOUTH;BEAM
144;CIRA0144;1032652.84;1263721.43;144;PROD_OIL;CIRA SOUTH;BEAM
162;CIRA0162;1032556.74;1263708.64;162;PROD_OIL;CIRA SOUTH;BEAM
170;CIRA0170;1032704.61;1264168.3;170;PROD_OIL;CIRA SOUTH;BEAM
171;CIRA0171;1032555.44;1263610.87;171;PROD_OIL;CIRA SOUTH;BEAM
172;CIRA0172;1032749.69;1261923.05;172;PROD_OIL;CIRA SOUTH;BEAM
177;CIRA0177;1032806.01;1261866.65;177;PROD_OIL;CIRA SOUTH;BEAM
178;CIRA0178;1032342.21;1262971.54;178;PROD_OIL;CIRA SOUTH;BEAM
184;CIRA0184;1032534.28;1261873.49;184;PROD_OIL;CIRA SOUTH;BEAM
187;CIRA0187;1032517.09;1263269.4;187;PROD_OIL;CIRA SOUTH;BEAM
202;CIRA0202;1032520.58;1263071.11;202;PROD_OIL;CIRA SOUTH;BEAM
210;CIRA0210;1032172.73;1263471.09;210;PROD_OIL;CIRA SOUTH;BEAM
212;CIRA0212;1032887.48;1263066.38;212;PROD_OIL;CIRA SOUTH;BEAM
213;CIRA0213;1032527.92;1264475.05;213;PROD_OIL;CIRA SOUTH;BEAM
215;CIRA0215;1031999.31;1263769.64;215;PROD_OIL;CIRA SOUTH;BEAM
