REGISTRO;POZO;ALS;AREA;FORMACION;FechaMonitoreo;BWPD;BOPD;BFPD;BSW;PPMaverage;PPMmax;P25to45;P45to106;P106to250;P250to425;PM425;CUADRILLA
2531;3634;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;1/03/2019;2658;98;2756;0.9643;7.38;7.88;0.1457;0;0.3315;0.3279;0.1949;C2
2541;2101;ESP;CIRA SUR;MUGROSA C;4/03/2019;1900;138;2038;0.9324;12.46;13.28;0.2829;0;0.3895;0.2199;0.1077;C3
2611;2101;ESP;CIRA SUR;MUGROSA C;12/03/2019;1900;138;2038;0.9324;9.47;37.29;0.6556;0;0.3089;0.0266;0.0089;C3
2651;2101;ESP;CIRA SUR;MUGROSA C;15/03/2019;1900;138;2038;0.9324;12.65;33.23;0.5976;0;0.3307;0.0359;0.0359;C3
2871;2960;ESP;CIRA SUR;MUGROSA C;12/04/2019;1864;42;1906;0.9778;17.14;34.24;0.2037;0;0.4183;0.3179;0.06;C3
2672;3686;ESP;INFA SUR;MUGROSA C;19/03/2019;1808;142;1950;0.9273;4.4;7.7;0.2131;0;0.235;0.2623;0.2896;C2
2753;3424;ESP;CIRA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;29/03/2019;1732;56;1788;0.9688;13.69;21.99;0.0654;0;0.229;0.4164;0.2891;C2
2717;2929;ESP;CIRA SUR;MUGROSA C;26/03/2019;1721;86.29;1807.29;0.9524;3.97;4.43;0.3552;0;0.4;0.1552;0.0897;C2
2722;2157;ESP;CIRA SUR;MUGROSA C;27/03/2019;1720;78.39;1798.39;0.9665;231.65;277.47;0.3241;0;0.479;0.181;0.0159;C2
2563;3387;ESP;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;6/03/2019;1706;87;1793;0.9515;3.62;6.55;0.1154;0;0.1779;0.3029;0.4038;C2
2911;2058;ESP;CIRA SUR;MUGROSA C;22/04/2019;1647;119;1766;0.9326;73.05;130.12;0.7694;0;0.1663;0.0474;0.0169;C2
2916;2058;ESP;CIRA SUR;MUGROSA C;22/04/2019;1647;119;1766;0.9325;5.19;5.26;0.594;0;0.2682;0.0977;0.0401;C2
3126;2058;ESP;CIRA SUR;MUGROSA C;16/05/2019;1647;119;1766;0.9326;56.91;119.75;0.1687;0;0.1993;0.3802;0.2517;C2
2845;1052;ESP;CIRA ESTE;MUGROSA - COLORADO BA;10/04/2019;1631;81;1712;0.9524;9.89;20.41;0.2022;0;0.1655;0.3291;0.3033;C2
2857;1052;ESP;CIRA ESTE;MUGROSA - COLORADO BA;10/04/2019;1631;81;1712;0.9524;10.3;10.56;0.1634;0;0.2706;0.2523;0.3137;C2
2538;3450;ESP;CIRA SUR;MUGROSA C;4/03/2019;1619;202;1821;0.8889;3.43;4.55;0.2702;0;0.4281;0.2246;0.0772;C3
2683;2101;ESP;CIRA SUR;MUGROSA C;19/03/2019;1601;98;1699;0.9422;3.42;3.45;0.4444;0;0.3755;0.1341;0.046;C3
2699;2101;ESP;CIRA SUR;MUGROSA C;22/03/2019;1601;98;1699;0.9422;11.79;11.83;0.5587;0;0.3743;0.0547;0.0123;C3
2730;2101;ESP;CIRA SUR ;MUGROSA C;27/03/2019;1601;98;1699;0.9422;11.17;11.35;0.4498;0;0.3991;0.1181;0.0331;C3
2781;2101;ESP;CIRA SUR;MUGROSA C;2/04/2019;1601;98;1699;0.9422;12.32;26.56;0.3115;0;0.4415;0.2155;0.0316;C2
2902;2101;ESP;CIRA SUR;MUGROSA C;17/04/2019;1601;98;1699;0.9422;413.7;812.96;0.2231;0;0.6415;0.1102;0.0253;C2
3062;2101;ESP;CIRA SUR;MUGROSA C;10/05/2019;1601;98;1699;0.9422;41.72;71.46;0.5828;0;0.3424;0.0522;0.0225;C2
3092;2101;ESP;CIRA SUR;MUGROSA C;15/05/2019;1601;98;1699;0.9422;122.46;227.26;0.4289;0;0.4586;0.0935;0.019;C2
3152;2101;ESP;CIRA SUR;MUGROSA C;22/05/2019;1601;98;1699;0.9422;684.14;1773.99;0.5769;0;0.3275;0.0908;0.0067;C2
3170;2101;ESP;CIRA SUR;MUGROSA C;23/05/2019;1601;98;1699;0.9422;86.59;191.58;0.1884;0;0.5247;0.2606;0.0263;C2
3273;2101;ESP;CIRA SUR;MUGROSA C;6/06/2019;1601;98;1699;0.9422;136.39;190.19;0.362;0;0.5672;0.0632;0.0077;C2
3332;2101;ESP;CIRA SUR;MUGROSA C;12/06/2019;1601;98;1699;0.9422;6.04;12.55;0.2534;0;0.5804;0.0681;0.0981;C2
3379;2101;ESP;CIRA SUR;MUGROSA C;19/06/2019;1601;98;1699;0.9422;1189.79;2522.56;0.3398;0;0.4646;0.1575;0.0381;C2
3399;2101;ESP;CIRA SUR;MUGROSA C;21/06/2019;1601;98;1699;0.9422;662.99;1957.09;0.3465;0;0.4928;0.1323;0.0284;C2
3445;2101;ESP;CIRA SUR;MUGROSA C;27/06/2019;1601;98;1699;0.9422;277.75;281.79;0.2032;0;0.5127;0.2413;0.0428;C2
3480;2101;ESP;CIRA SUR;MUGROSA C;4/07/2019;1601;98;1699;0.9422;656.99;832.74;0.3283;0;0.4837;0.1456;0.0424;C2
2574;3791;ESP;INFA CENTRAL;MUGROSA C;7/03/2019;1563;131;1694;0.9226;31.48;31.87;0.1023;0;0.5881;0.2852;0.0243;C2
2565;3224;ESP;INFA SUR;MUGROSA C;6/03/2019;1519;49.1;1568.11;0.969;33.65;64.98;0.0555;0;0.4348;0.444;0.0658;C2
2668;3969;ESP;CIRA SUR;MUGROSA C;18/03/2019;1492;154;1646;0.9064;41.32;99.66;0.8563;0;0.1276;0.0108;0.0053;C2
2776;3969;ESP;CIRA SUR;MUGROSA C;2/04/2019;1492;154;1646;0.9064;85.2;175.16;0.4121;0;0.5062;0.0675;0.0142;C1
