POZO;FECHA;BFD;TIPO
2488;29/05/2023;513,6;VOLUMETRIC
3220;29/05/2023;507;VOLUMETRIC
3222;29/05/2023;525,2;VOLUMETRIC
3227;29/05/2023;1041;VOLUMETRIC
4529;29/05/2023;89,3;VOLUMETRIC
1002;29/05/2023;253;VOLUMETRIC
1859;29/05/2023;6,81;VOLUMETRIC
2020;29/05/2023;457;VOLUMETRIC
2268;29/05/2023;1213;VOLUMETRIC
2328;29/05/2023;587,3;VOLUMETRIC
2446;29/05/2023;508,1;VOLUMETRIC
2552;29/05/2023;675;VOLUMETRIC
2558;29/05/2023;256;VOLUMETRIC
2584;29/05/2023;442;VOLUMETRIC
2619;29/05/2023;964;VOLUMETRIC
2908;29/05/2023;374;VOLUMETRIC
2971;29/05/2023;519;VOLUMETRIC
3064;29/05/2023;796,3;VOLUMETRIC
3467;29/05/2023;16,56;VOLUMETRIC
3944;29/05/2023;38,33;VOLUMETRIC
3981;29/05/2023;659;VOLUMETRIC
4631;29/05/2023;403,9;VOLUMETRIC
5058;29/05/2023;100;VOLUMETRIC
910;29/05/2023;552,1;VOLUMETRIC
C2PP1;29/05/2023;784,8;VOLUMETRIC
2325;28/05/2023;1820;VOLUMETRIC
3145;28/05/2023;686,9;VOLUMETRIC
3230;28/05/2023;271;VOLUMETRIC
3284;28/05/2023;216,3;VOLUMETRIC
3631;28/05/2023;158,3;VOLUMETRIC
3789;28/05/2023;449,6;VOLUMETRIC
1002;28/05/2023;211,3;VOLUMETRIC
1214;28/05/2023;1252;VOLUMETRIC
1362;28/05/2023;7,2;VOLUMETRIC
1775;28/05/2023;326;VOLUMETRIC
1814;28/05/2023;0,6;VOLUMETRIC
2196;28/05/2023;668,4;VOLUMETRIC
2202;28/05/2023;1302;VOLUMETRIC
2206;28/05/2023;344,6;VOLUMETRIC
2224;28/05/2023;1003;VOLUMETRIC
2305;28/05/2023;541,2;VOLUMETRIC
2328;28/05/2023;590;VOLUMETRIC
2360;28/05/2023;921,7;VOLUMETRIC
2382;28/05/2023;1245;VOLUMETRIC
2436;28/05/2023;344,2;VOLUMETRIC
2748;28/05/2023;358;VOLUMETRIC
2750;28/05/2023;22,5;VOLUMETRIC
2785;28/05/2023;601,5;VOLUMETRIC
2801;28/05/2023;988,8;VOLUMETRIC
2936;28/05/2023;329;VOLUMETRIC
2957;28/05/2023;549,6;VOLUMETRIC
2983;28/05/2023;449,7;VOLUMETRIC
