NamePozo;Latitud;Longitud;AREA;FORMACION;FechaMonitoreo;BWPD;BOPD;BFPD;BSW;PPMp;PPMm;25_45um;45_106um;106_212um;212_425um;mayor_425um;CUADRILLA;color_icono;Prefijo;icono 
INFA3634;6.876;-73.765;INFA SUR;ESMERALDAS - LA PAZ - MUGROSA DC;1/03/2019;2658;98;2756;0.9643;7.38;7.88;0.1457;0;0.3315;0.3279;0.1949;C2;green;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;4/03/2019;1900;138;2038;0.9324;12.46;13.28;0.2829;0;0.3895;0.2199;0.1077;C3;yelow;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;12/03/2019;1900;138;2038;0.9324;9.47;37.29;0.6556;0;0.3089;0.0266;0.0089;C3;green;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;15/03/2019;1900;138;2038;0.9324;12.65;33.23;0.5976;0;0.3307;0.0359;0.0359;C3;yelow;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;19/03/2019;1601;98;1699;0.9422;3.42;3.45;0.4444;0;0.3755;0.1341;0.046;C3;green;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;22/03/2019;1601;98;1699;0.9422;11.79;11.83;0.5587;0;0.3743;0.0547;0.0123;C3;yelow;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR ;MUGROSA C;27/03/2019;1601;98;1699;0.9422;11.17;11.35;0.4498;0;0.3991;0.1181;0.0331;C3;yelow;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;2/04/2019;1601;98;1699;0.9422;12.32;26.56;0.3115;0;0.4415;0.2155;0.0316;C2;yelow;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;17/04/2019;1601;98;1699;0.9422;413.7;812.96;0.2231;0;0.6415;0.1102;0.0253;C2;red;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;10/05/2019;1601;98;1699;0.9422;41.72;71.46;0.5828;0;0.3424;0.0522;0.0225;C2;yelow;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;15/05/2019;1601;98;1699;0.9422;122.46;227.26;0.4289;0;0.4586;0.0935;0.019;C2;red;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;22/05/2019;1601;98;1699;0.9422;684.14;1773.99;0.5769;0;0.3275;0.0908;0.0067;C2;red;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;23/05/2019;1601;98;1699;0.9422;86.59;191.58;0.1884;0;0.5247;0.2606;0.0263;C2;yelow;fa;tower-observation
CIRA2101;6.986;-73.791;CIRA SUR;MUGROSA C;6/06/2019;1601;98;1699;0.9422;136.39;190.19;0.362;0;0.5672;0.0632;0.0077;C2;red;fa;tower-observation
